,mean,std,time
0,0.05637103097356462,0.007865160642935588,-9.5
1,0.056336742056292625,0.00850426320528623,-9.0
2,0.05591968942480325,0.008785882781041175,-8.5
3,0.056265812948017975,0.008971320596263137,-8.0
4,0.05667915063123402,0.009430983942787604,-7.5
5,0.05630149498881096,0.010137645641101672,-7.0
6,0.05603861894146023,0.010464425517237632,-6.5
7,0.05560751194186931,0.010197766797529257,-6.0
8,0.05509045108712574,0.010623828501054837,-5.5
9,0.05537325885815643,0.010493779136141738,-5.0
10,0.05535181269348046,0.01053102678651712,-4.5
11,0.05474190352859606,0.01059459411133172,-4.0
12,0.054375567858125966,0.010647410555269857,-3.5
13,0.054292572952268574,0.010544615778732195,-3.0
14,0.0534970582156455,0.01043814995213095,-2.5
15,0.053859081584319346,0.010439909404085826,-2.0
16,0.05398155847087305,0.010804813290495855,-1.5
17,0.053212710360144556,0.010113113342289218,-1.0
18,0.05339119686042984,0.01041421098669735,-0.5
19,0.05425799053565585,0.01049514091588877,0.0
20,0.037491044756661165,0.008557263939683589,0.5
21,0.035266701785234396,0.007843478720960532,1.0
22,0.039580222067006884,0.01180953250693415,1.5
23,0.04697824316163067,0.018915089230538265,2.0
24,0.05815578651405984,0.029835957659083687,2.5
25,0.07327424381235766,0.04265451798354511,3.0
26,0.08867353568316794,0.0547054848178887,3.5
27,0.10493861254976618,0.06635483587765925,4.0
28,0.12155175989796077,0.07611504776358535,4.5
29,0.1390543768213656,0.08585611621188066,5.0
30,0.1566304071163517,0.09583232872836324,5.5
31,0.1750535055633578,0.10586472453414247,6.0
32,0.1951367847011382,0.11470010112506213,6.5
33,0.21162527448330667,0.11986495288420301,7.0
34,0.22968675428310806,0.12696535261078085,7.5
35,0.25087973368238803,0.1365682761708561,8.0
36,0.2679190114405024,0.14236020421612472,8.5
37,0.28447146200655354,0.1477588815369385,9.0
38,0.2996448716127577,0.15303094549665688,9.5
39,0.31762949419256925,0.15778543422503027,10.0
40,0.3377245669006106,0.16130127101180236,10.5
41,0.3521654211099233,0.16158321570366374,11.0
42,0.36704771267059866,0.16191856589120543,11.5
43,0.3838161572042603,0.1638154009648769,12.0
44,0.397592806303017,0.1648719757920898,12.5
45,0.41922113774915365,0.16715246348369614,13.0
46,0.4334984668589624,0.16417520071765873,13.5
47,0.4505842383525401,0.1639037119779514,14.0
48,0.4681568402514762,0.1587482050446323,14.5
49,0.48869056120186116,0.1529863852052118,15.0
50,0.5088844584196217,0.14711650248331826,15.5
51,0.5332060151848844,0.1415180317611998,16.0
52,0.5529852510090386,0.13093895472911654,16.5
53,0.5759219347560368,0.12725749136556394,17.0
54,0.5987806009049514,0.12078577028066395,17.5
55,0.6184594146318139,0.11621301911121143,18.0
56,0.6365117192021368,0.11210149109060664,18.5
57,0.6550798187268864,0.10472090831709162,19.0
58,0.665578758217536,0.09673053280052421,19.5
59,0.6877545392696177,0.09259679570250144,20.0
60,0.7014374141155892,0.09064142903888152,20.5
61,0.7180738808720594,0.0863349386149933,21.0
62,0.7318483174438556,0.07878334053127026,21.5
63,0.7459884364215359,0.06944164145501991,22.0
64,0.75623239771877,0.06073084313002722,22.5
65,0.7709596265403544,0.05592369048698959,23.0
66,0.7851502754308772,0.05963486512872391,23.5
67,0.8057997133836469,0.05993157005230416,24.0
68,0.8067514981992012,0.05749695930807031,24.5
69,0.818808522557092,0.04947160954847708,25.0
70,0.8225061695618666,0.04286495814683819,25.5
71,0.8355419635451997,0.03561478135078942,26.0
72,0.8403697368091385,0.036899700009457574,26.5
73,0.8441870153335274,0.03649710894915812,27.0
74,0.8534980286182532,0.02873057199450218,27.5
75,0.8592302717468507,0.0346790524110399,28.0
76,0.8777939140231629,0.028431578782708408,28.5
77,0.8769478757191477,0.024257137025891752,29.0
78,0.8797609458558532,0.022341253873659983,29.5
79,0.884775235393917,0.020818087507327974,30.0
80,0.8960649440037265,0.025209089972886966,30.5
81,0.9040678190123357,0.0240266335674385,31.0
82,0.9096238910770824,0.018223971775799135,31.5
83,0.9196710959391082,0.02207623814187535,32.0
84,0.9257993949050487,0.024619205478500356,32.5
85,0.9347087239103052,0.017773577892337643,33.0
86,0.938452767505009,0.023577092016770045,33.5
87,0.9396053478855673,0.012727996794984991,34.0
88,0.9451591523911534,0.016068232753148167,34.5
89,0.9527096134062019,0.014912278051526997,35.0
90,0.94361359921904,0.01648013753440805,35.5
91,0.9506954137303145,0.015287340176343976,36.0
92,0.9584915672636528,0.018920421021449058,36.5
93,0.969633785919664,0.00832139011882029,37.0
94,0.968026380253826,0.008412248557726097,37.5
95,0.9676112534531145,0.007580912637466609,38.0
96,0.9738652735165769,0.010657166604839653,38.5
97,0.9742905593593849,0.007366640725421647,39.0
98,0.9773470482843943,0.008457154400312765,39.5
99,0.9732280765575394,0.012071204508499626,40.0
100,0.9763647157181496,0.016643524177250815,40.5
101,0.9771091513555316,0.014161982015002083,41.0
102,0.9812371169698044,0.01720690626581639,41.5
103,0.9834219395924699,0.019931676127296176,42.0
104,0.9791788473086492,0.021691023566559216,42.5
105,0.9928349031422357,0.019375185964954637,43.0
106,0.9899962505128136,0.015033817859627943,43.5
107,0.9898686231439913,0.024760943079615388,44.0
108,0.9911708005961333,0.021138247564003523,44.5
109,0.9875033427577035,0.01682564105995249,45.0
110,0.992979849898729,0.018519053943490554,45.5
111,0.9901857389213434,0.021577705054131077,46.0
112,0.9915686902827933,0.024659262706700213,46.5
113,0.9982160816869532,0.020305649201704433,47.0
114,0.9966443822710127,0.022214896997500715,47.5
115,0.993675268992858,0.02380688589406682,48.0
116,0.9917978833175034,0.017558292945749725,48.5
117,0.9934763211569826,0.027593871358122662,49.0
118,0.9930801763366263,0.016680721102464786,49.5
119,0.9831418808605032,0.032750108853856826,50.0
120,0.9821530307031243,0.020217823348303465,50.5
121,0.9775401733396432,0.01529830565623148,51.0
122,0.9869857705496681,0.015347591411690209,51.5
